epoch,acc,auc,auc_val,loss,val_acc,val_loss
0,0.8210091346655269,0.8037242308514079,0.8405911865347269,0.5322001123101673,0.8498705793188193,0.3320969464040399
1,0.8394954321487098,0.8410459323361732,0.865584250439286,0.43138088447314443,0.8567730790587517,0.30913060353273353
2,0.85015224140071,0.8517647617413058,0.8718614168130954,0.38190278003868094,0.8688524576792745,0.30069124647211265
3,0.8494997820733888,0.8591899504066361,0.8772889114954222,0.3813890438978959,0.8809318362997975,0.3079267526567754
4,0.8529795574177447,0.8646894703515903,0.8809419217608435,0.36773281060596713,0.8662640217874871,0.29506313620815
5,0.8547194417583885,0.8672666284490701,0.8803870341255895,0.35441669177469765,0.8723037110206071,0.2904125211103092
6,0.859939103517495,0.8727626457629644,0.8843174882086379,0.3419977030633791,0.885245902410759,0.2931338468176008
7,0.8568943023370524,0.8751456024272455,0.8870803662258394,0.34745743808511964,0.877480587638381,0.2850476152892767
8,0.8605915626374054,0.877161561192716,0.889612041061685,0.33474154839727244,0.8852459001479425,0.28614535791489254
9,0.8634188762951437,0.8796243000089122,0.889276796448719,0.33984667924810047,0.8852459001479425,0.28638212654074274
10,0.8655937353441537,0.87956047428738,0.8907564968093962,0.32620451450607163,0.8817946537493425,0.2880884957940955
11,0.8649412786613189,0.8836636119832013,0.8929413668732082,0.3153176555533988,0.886108715334671,0.27957378470558253
12,0.8662461952937069,0.886591033186651,0.8951146767779524,0.3199144751027959,0.8869715303671165,0.27559599519495925
13,0.863201392998432,0.8877457338926646,0.8946118098585036,0.3244276264404514,0.8895599686760034,0.27791126467113975
14,0.8616789911248571,0.8903925554301095,0.8954903819476556,0.3210634746308843,0.883520277025784,0.27529219672328137
15,0.8634188782396188,0.8929253468674997,0.8983688615555351,0.31683012599424465,0.880931838716897,0.2728424384174314
16,0.8736407129128844,0.8935593230893051,0.8989699898270601,0.30517579737618056,0.8938740301070489,0.2765944259139975
17,0.8666811650760695,0.89428864871218,0.8997271802460003,0.31320269482972674,0.8912855942152614,0.2746141289101272
18,0.8712483695301091,0.8960570882160982,0.8992358734856192,0.29823525034121295,0.8869715256872004,0.27288780220630765
19,0.8719008252536695,0.8981633370266633,0.9000971053361695,0.30053387459152003,0.8878343384568295,0.27077920309318565
20,0.8753806003128357,0.900366881144442,0.8996346989734578,0.29725670543583954,0.886971527950017,0.2685730783100062
21,0.8751631144494169,0.9011000985796052,0.8996751595301952,0.2934662240155109,0.8886971534892749,0.2688316495075012
22,0.8738581988540822,0.9017675443870922,0.8994728567465088,0.2996299484207507,0.8930112150746033,0.2711130812622742
23,0.8753805992757823,0.9035404594751425,0.9011143993341348,0.2941718150761502,0.8947368406138614,0.2718702202680504
24,0.8764680288002874,0.9047023600338899,0.9010334782206603,0.2931423902952344,0.8964624661531193,0.2746239122488665
25,0.8745106566517495,0.9054628201550731,0.9019929714232867,0.29439014873073227,0.8955996556463068,0.26617534403352516
26,0.8745106562369281,0.9073382844969268,0.9026923610468879,0.29179035126514774,0.89301121733742,0.26486632292182205
27,0.8792953464766076,0.9077819510978219,0.904391704429853,0.28963774838049344,0.8947368428766779,0.2624021157352342
28,0.8747281418929364,0.9082376823168116,0.9037154351243873,0.2927084133489177,0.8964624684159359,0.2662329446199745
29,0.8755980870058974,0.9086832948238508,0.9035420327383705,0.29219174652112057,0.8990509067248228,0.26750947029761346
30,0.8729882566448708,0.9087693038754276,0.9031778877277351,0.2897640507783305,0.8990509067248228,0.2683197809150242
31,0.8792953448173221,0.9102193931341426,0.9039870988624803,0.28439733065849493,0.8990509067248228,0.2634868424086863
32,0.8786428895863619,0.9120283074858619,0.9041778414870989,0.29177862215218414,0.8981880939551938,0.26603865055198606
